County,Population,Poverty Count,No Degree,Degree,Lat,Lng
Liberty County,152914.0,23903.0,35051.0,19542.0,31.83,-81.5
Licking County,154559.0,19580.0,39126.0,32386.0,40.08,-82.5
Limestone County,111125.0,16978.0,25699.0,21373.0,34.8,-86.98
Lincoln County,587504.0,89484.0,147643.0,120680.0,41.05,-100.77
Lincoln Parish,48857.0,14071.0,7886.0,10542.0,32.62,-92.65
Linn County,370317.0,44417.0,74144.0,94982.0,42.07,-91.6
Lipscomb County,3504.0,386.0,788.0,554.0,36.25,-100.29
Litchfield County,184669.0,12666.0,40660.0,58151.0,41.77,-73.25
Livingston County,278598.0,26246.0,60556.0,72118.0,40.87,-88.52
Llano County,22878.0,3358.0,5172.0,5620.0,30.7,-98.67
Logan County,221691.0,34030.0,63974.0,35195.0,41.57,-100.48
Lonoke County,75017.0,8920.0,17295.0,13909.0,34.77,-91.88
Lorain County,295649.0,39934.0,66456.0,67064.0,41.33,-82.15
